machine_id,rows
2497958300,456758
778700158,242540
979583,205954
4820211498,203716
4820144491,203185
4820159452,197657
4820289779,196508
4820019870,196280
4815459946,196094
5015611256,194340
4820184623,193114
4820156550,192660
4820095760,191167
4820235086,191050
4819998188,190703
4820320313,188959
4116915817,187019
4820234970,186325
4820155901,184297
4820910848,183497
4820102717,182799
4820133029,182731
4820099283,181471
4820315682,181254
6608772,181216
4820168389,181143
4820094952,180875
4820390100,180395
4820437124,180355
5015626000,179768
4820152582,179561
4819997869,179546
4820020161,179401
4819998329,179367
4820092151,179334
4820096567,179032
4820247043,178719
4820059440,178695
4820250966,178630
4820285633,178484
4820138060,178269
4820031883,178005
4820093043,177933
4820058959,177860
4820076342,177596
4820074200,177526
4820134769,177504
4820131087,177044
4802039830,177014
4820212398,176844
4820073645,176842
4820102641,176600
4820137356,176545
4820362701,176246
4820076494,176100
4820013687,176075
4820204869,176066
798454510,176001
4820157095,175704
4820180964,175636
4820109218,175112
4802130219,174344
4820013686,173958
4820029036,173830
6912420,173693
4820076231,173629
337885666,173518
4820254605,173493
4820155450,173275
4820187800,173143
5015656043,172686
4820022174,172626
4820107319,172527
4820060403,172479
4820097460,172317
4820240534,172007
4873175358,171639
4820059668,171537
4820074350,171089
4820135318,170327
4820381954,170270
4820075950,170136
4820186361,170091
4820027949,170023
4820422455,169982
4819998974,169825
1274931,169493
4820155784,169386
4820239515,169350
284757721,169073
4820180814,168919
4820136839,168741
4820022630,168514
4820072284,168386
4820028588,168358
4820110435,168352
4802476989,168057
4820285492,167497
4820097855,167451
4844666475,167268
4820358128,167191
4820200692,166878
1429175111,166807
4820076287,166667
4802864268,166381
1303463,166348
4820461702,166208
4820428784,165670
4817603466,165490
4820060273,165481
4820182804,165222
4820361957,165095
4853929305,165041
4820075718,164537
4820241539,164453
3407946425,164185
4820140717,163996
4820457161,163775
4802139634,163591
4820149990,163272
6640669,163125
4820074688,163089
4802146191,162689
4820248123,162499
766857101,162499
4820106869,162439
4820094425,162221
1301820,161935
5017364115,161913
4802151519,161872
4820011766,161855
4820097379,161831
5015667066,161612
4820156756,161585
4820417270,161085
4820262802,161075
4820391160,161016
4820339572,160933
4802474017,160861
4820199831,160839
662368,160710
5017329882,160517
4802803369,160411
5116299323,160358
3299641544,160299
4802500501,160280
4820426474,160262
4802863311,160002
4820094660,159875
4820309550,159863
4820095049,159706
4820061208,159682
4820103578,159519
4820180887,159297
4820157300,158730
5777359786,158719
4820095917,158662
4820028262,158513
660798,158059
4802909509,157931
4874252578,157881
4802475937,157513
4820315197,157450
4820095816,157423
7254543,157411
4820093730,157345
4820218652,157196
5015839737,157167
4820241801,157006
4820139883,156901
4820263011,156854
4820060350,156841
4802910787,156805
4820025580,156733
4820027743,156569
4802140024,156495
4820096878,156367
4820314713,156350
5137002965,156330
1747526378,156224
4820445919,156032
4820110578,156019
4802491016,155903
4802892103,155876
4820139892,155638
4820238618,155578
4820233415,155555
4820097093,155493
4820073870,155404
982412,155243
660769,155226
4820092870,155159
1391350902,154916
4802514029,154768
4820059212,154689
711466,154651
2538148,154645
4820094953,154620
4820170947,154534
4820020431,154533
4820226730,154387
431054201,154357
4820183066,154329
4820238819,154278
4842134203,154110
4820239559,154104
2622319394,154053
4802132527,153965
3858903110,153862
1094830,153748
4820236711,153681
4802092023,153237
4820234878,153212
4820096649,153086
4819984634,153042
4802136717,153004
4820096646,152798
6568140,152760
4820023833,152670
8055722,152587
5777397608,152524
4802863684,152488
4820107181,152481
4820022100,152470
4820022347,152352
4802498578,152299
155467841,152279
4802478358,152172
3890204889,152170
4802146889,152129
4820072517,152010
4820220492,151920
4802141783,151817
5015725340,151741
4820185434,151668
4893347381,151618
4820234841,151586
4802863150,151578
5015768050,151566
1327042,151563
684603138,151548
4820002342,151463
4802041305,151392
514995,151263
3231862370,151226
4802892317,151047
717320,150975
227415838,150912
4820251359,150880
1426401812,150816
4802885329,150778
227419851,150766
4819999495,150724
227424758,150647
4802888471,150597
967695,150467
4820150108,150447
5942513693,150284
4802864573,150252
2595888969,150250
227459279,150210
4873940397,150176
4820072867,150160
4820191072,150083
6641428,149830
1274255,149769
4824432155,149745
4802863353,149722
1094546,149699
6567823,149614
4820394062,149578
4820018672,149567
4820134805,149490
4820361969,149475
4820338371,149461
5015675434,149457
4820184070,149353
4820059312,149341
627969,149316
4802474338,149274
2786980303,149248
54,149235
4802885186,149222
1331843,149135
4802473051,149113
4802506677,149032
4802905480,148955
318406929,148940
3583683521,148936
6608635,148810
4819956898,148785
5015688164,148773
4820183560,148727
4820095284,148606
1322356,148584
4820099485,148560
812163177,148531
4820095497,148486
4802905484,148139
4820106854,148105
4802506090,147834
6087718021,147828
6563268,147796
4820221501,147637
1332262,147452
4820381786,147276
6608512,147244
4802124009,147187
4820251732,147009
4820093536,147006
4802476128,146897
4802476235,146742
4820275344,146688
4802978415,146624
4820110705,146621
4802517766,146553
4873178313,146498
5118955112,146497
4820099282,146474
4820310876,146418
4820222428,146346
4802477432,146307
4820223806,146242
5015624394,146234
8055716,146152
4817689282,146151
4820095468,146130
6566693,146048
4820157409,146020
2056419541,146000
4820072969,145984
4820201363,145982
4820234896,145972
4820103455,145950
4820365964,145904
4820409191,145892
4820347938,145852
4820218075,145834
6639225,145790
4802120333,145787
4802905544,145744
4820092463,145549
4820092284,145413
4802889491,145252
4820236868,145027
4820395564,144876
4820310690,144866
4820076688,144861
4820256950,144765
4820058969,144600
4820091923,144561
4820110437,144545
4802487721,144437
2107213808,144410
4802086443,144406
257502093,144369
4820226557,144346
638368,144305
672206,144304
902898,144228
4820072882,144090
4802904854,144048
682272,144002
4246455252,143994
4802096983,143981
4820024112,143960
6608522,143870
4802122506,143855
4820361048,143767
854775874,143542
4820097362,143501
4820185414,143478
4820234954,143436
924386824,143411
4820184999,143403
4823596976,143338
4802517408,143262
705751,143252
4820181479,143216
4820453791,143195
4802853535,143169
4820076223,143119
4820157076,143088
6566421,143076
4820097391,143037
4802842149,143019
4875327087,143000
4802484114,142916
4820270069,142870
4802122622,142848
4825181162,142767
4802141828,142723
369730124,142672
4820155405,142657
4819990193,142642
4802151072,142613
4802467653,142541
4820430817,142538
4820002127,142526
4802491044,142487
4820338068,142472
4819968244,142416
711574,142352
4802850503,142349
4802150882,142226
4820318859,142201
4820508012,142145
705824,142138
4802952927,142067
4802910981,142056
4820003318,142041
4820097459,141975
381370,141975
4802042730,141937
2188987289,141924
3915808921,141893
4820204870,141830
6000919152,141804
1093251,141775
4820318086,141753
4820350140,141734
182854069,141661
1335688,141648
4820103815,141628
4238697154,141562
351618630,141544
4820258292,141502
4820093885,141448
4820059749,141372
3582783789,141357
4802483639,141343
4868544361,141340
4820217961,141324
317487770,141285
705700,141285
4820026480,141273
3652042894,141272
4820182428,141229
4820368432,141214
197845523,141158
4820075906,141145
1429160164,141100
1094139,141099
317477952,141051
1436292896,141033
2100085762,141025
7776630,140992
4802043170,140981
4820131094,140970
4820005509,140939
4820108770,140867
257337630,140807
478288620,140772
4820338434,140755
4820346650,140749
4820250774,140636
644879424,140635
351607162,140631
4820106260,140622
4820059719,140600
1267993,140598
4802478945,140569
4802501726,140456
4820149848,140456
4820262670,140452
4820025418,140446
4820326459,140429
705724,140337
4846345465,140298
602971,140290
4820257768,140261
5015910716,140203
8053584,140195
1651219664,140182
4820315928,140151
4820029995,140150
4820157251,140143
1273130,140127
4820365604,140115
4820115870,140073
4825194215,139976
227445777,139964
988391,139956
681910,139879
711987,139810
4820359879,139804
3890484252,139792
705651,139716
2097135079,139706
4938563404,139662
1339145,139638
257351342,139494
257395954,139489
227442887,139361
4476483801,139356
4820222658,139290
336068227,139230
4820028096,139213
4820225987,139212
902935,139210
294870687,139181
908319,139131
1271358,139098
631949,139048
4820134385,139046
5100834323,139042
4802864522,139000
6565400,138953
4820155266,138913
4820072706,138891
4820108789,138807
4802885948,138752
6567815,138671
4868433228,138658
257498586,138557
4820034742,138545
4476657883,138501
710950,138470
207998285,138387
63619234,138376
4217813295,138302
4802519329,138284
1436490456,138277
705817,138258
3306007465,138248
381374,138235
903237,138206
4802517677,138167
3813279564,138157
224736467,138095
17014405,138050
4802886612,137907
4820220191,137903
56895562,137857
4819958352,137832
4820310861,137740
4820094424,137702
567341,137667
682274,137657
6607987,137636
4820076642,137616
227419572,137563
